id,candidate,program_type,priority_group,species,virus,lineage_or_scope,stage,stage_key,stage_order,platform_family,platform,modality,sponsor_or_steward,setting,trial_status,clinical_phase_detail,publication_status,trial_start_date,primary_completion_date,completion_date,results_publication_date,trial_registry_ids,trial_locations,funding,reserve_or_stockpile_status,status_summary,next_milestone_or_gap,evidence_class,is_gap,is_clinical,source_titles,source_urls,registry_status_summary,publication_watch_summary,review_flags,curation_note
niv-dna-preclinical,DNA-launched Nipah vaccine and therapeutic candidates,Human vaccine - preclinical platform,Active public-health priority,Henipavirus nipahense,Nipah virus,DNA-encoded vaccine and monoclonal antibody delivery approaches,Preclinical / animal-model evidence,preclinical,2,DNA vaccine / DNA-encoded biologics,DNA-vectored / DNA-launched vaccine and therapeutic delivery platform,Human vaccine and therapeutic concepts,The Pirbright Institute and collaborators,"Preclinical models: mice, pigs, and hamsters",Preclinical,No public human clinical trial identified.,Project and preclinical plan public; monitor for data publication,,,,,[],"[{""city"": ""Pirbright"", ""country"": ""United Kingdom"", ""population"": ""Animal models"", ""role"": ""Preclinical development"", ""site"": ""The Pirbright Institute""}]","[{""amount"": null, ""currency"": """", ""funder"": ""UKRI / funders listed in project records"", ""grant_or_award"": ""DNA-launched Nipah virus vaccines and therapeutics project"", ""note"": ""Public grant records describe preclinical evaluation aims."", ""unit"": """"}]",None identified.,New platform-tracker row added for DNA vaccine/therapeutic representation.,"Animal efficacy data, construct selection, translational sponsor, and clinical entry package.",Preclinical program / funded project,False,False,Pirbright: DNA-launched Nipah virus vaccines and therapeutics | UKRI Gateway to Research: DNA-launched Nipah virus vaccines and therapeutics,https://www.pirbright.ac.uk/our-science/research-projects/dna-launched-nipah-virus-vaccines-and-therapeutics | https://gtr.ukri.org/projects?ref=UKRI999,,DNA-launched-Nipah: 99 Europe PMC hits,Source returned HTTP 403: https://europepmc.org/search?query=DNA-launched%20Nipah%20virus%20vaccines%20therapeutics,Added to ensure platform tracker covers DNA vaccine approaches.
niv-live-attenuated-preclinical,Live-attenuated Nipah vaccine concepts,Human vaccine - preclinical platform,Active public-health priority,Henipavirus nipahense,Nipah virus,Replication-competent attenuated / single-dose approaches in animal challenge models,Preclinical / animal-model evidence,preclinical,2,Live attenuated / replicating vector,Live-attenuated Nipah vaccine constructs and related single-dose replicating vector approaches,Human vaccine concept,Academic/preclinical investigators; NIH/NIAID intramural work in related VSV candidates,Hamster and African green monkey animal-model evidence,Preclinical for live-attenuated concepts; PHV02 is tracked separately as clinical rVSV vector,No public human clinical trial for live-attenuated Nipah constructs other than the separately tracked rVSV PHV02 vector program.,Preclinical publications available,,,,,[],[],[],None identified.,"New platform-tracker row for live-attenuated approaches, separated from the active PHV02 rVSV clinical product.","Safety attenuation, shedding/reversion risk, GMP feasibility, and clinical sponsor.",Preclinical animal-model protection,False,False,Vaccine / PMC: live-attenuated Nipah vaccine concepts protect hamsters | PubMed: single-dose live-attenuated VSV-based vaccine protects African green monkeys | NIAID: VSV-based Nipah vaccine preclinical note,https://pmc.ncbi.nlm.nih.gov/articles/PMC4829066/ | https://pubmed.ncbi.nlm.nih.gov/25865472/ | https://www.niaid.nih.gov/research/vsv-based-nipah-virus-vaccine,,live-attenuated-Nipah: 1061 Europe PMC hits,Source returned HTTP 403: https://www.niaid.nih.gov/research/vsv-based-nipah-virus-vaccine | Source returned HTTP 403: https://europepmc.org/search?query=live%20attenuated%20Nipah%20vaccine,Added for platform completeness; this row is not a separate active human clinical candidate.
hev-equivac-veterinary-licensed,Equivac® HeV,Veterinary vaccine,Approved veterinary countermeasure,Henipavirus hendraense,Hendra virus,Horse vaccination in Australia; One Health reduction of horse-to-human spillover risk,Licensed veterinary countermeasure,licensed_veterinary,12,Subunit protein,Recombinant soluble Hendra virus G glycoprotein subunit vaccine,Veterinary vaccine,Zoetis; Australian veterinary deployment; original CSIRO/Uniformed Services University collaborators,Licensed for horses in Australia; launched 2012 and fully registered in 2015,Licensed animal-health product; not a human vaccine,Veterinary licensure; not applicable to human clinical phases.,Veterinary/One Health literature available,2012-11,2015-08,2015-08,,[],"[{""city"": ""National veterinary use"", ""country"": ""Australia"", ""population"": ""Horses at risk of Hendra virus exposure"", ""role"": ""Licensed horse vaccination"", ""site"": ""Accredited veterinarians""}]",[],Licensed veterinary product; no human licensure.,Displayed in a separate veterinary countermeasures section to show the only licensed henipavirus vaccine globally is for animals only.,Maintain clear distinction between veterinary protection and lack of licensed human henipavirus vaccines.,Licensed veterinary product,False,False,Zoetis: Hendra Virus Vaccine fully registered in Australia | PMC: Hendra virus vaccine One Health approach | CSIRO: Hendra vaccine development background | Nature/npj Vaccines: horse anti-Hendra vaccine in use since 2012,https://news.zoetis.com/press-releases/press-release-details/2015/Hendra-Virus-Vaccine-Now-Fully-Registered-in-Australia/default.aspx | https://pmc.ncbi.nlm.nih.gov/articles/PMC3944873/ | https://www.csiro.au/en/news/all/articles/2012/november/hendra-vaccine | https://www.nature.com/articles/s41541-021-00284-w,,Equivac-HeV: 90 Europe PMC hits,Source returned HTTP 404: https://www.csiro.au/en/news/all/articles/2012/november/hendra-vaccine | Source title may indicate a stale/broken page: 404 - Page not found - CSIRO | Source returned HTTP 403: https://europepmc.org/search?query=Equivac%20HeV%20Hendra%20vaccine,Separated from human vaccine stages; never use this row to imply a licensed human countermeasure.
hev-human-specific-gap,Dedicated human Hendra-only vaccine indication,Human vaccine gap,Hendra public-health preparedness gap,Henipavirus hendraense,Hendra virus,"Human Hendra-specific indication, distinct from cross-protective Nipah programs",No active public vaccine or therapeutic program,gap,0,Gap / indication need,Not applicable,Human vaccine indication gap,No dedicated public human Hendra-only sponsor identified,"HeV-sG-V and mRNA-1215 may have cross-Hendra relevance, but no dedicated licensed human HeV indication exists",No dedicated human Hendra-only vaccine trial identified,Not applicable,Not applicable,,,,,[],[],[],No human reserve identified.,"Clarifies that Hendra coverage in the human pipeline is via cross-protective Nipah/Hendra candidates, not a dedicated licensed human Hendra vaccine.",Define whether human Hendra indication would be bridged from Nipah/HeV immunogenicity or handled through veterinary One Health control.,Curated gap,True,False,WHO R&D Blueprint: Nipah and Henipaviruses | npj Vaccines: subunit vaccine based on Hendra G and human Phase I context,https://www.who.int/teams/blueprint/nipah-henipaviruses | https://www.nature.com/articles/s41541-021-00284-w,,,,"Kept as a gap row for indication clarity, not counted as an active candidate."
cedar-research-surrogate-only,Cedar virus research surrogate lane,Research tool / surveillance,Not an active vaccine priority,Henipavirus cedri,Cedar virus,Non-pathogenic henipavirus used as a BSL-2 surrogate/model in some research systems,Surveillance / research tool only,surveillance,1,Research tool / surrogate model,"Research surrogate / assay model, not a vaccine candidate",Research tool,Academic research groups,"BSL-2 surrogate, neutralization assay, and model-development work",No active vaccine development program curated,Not applicable,Research-surrogate literature available,,,,,[],[],"[{""amount"": null, ""currency"": ""USD"", ""funder"": ""NIH/NIAID"", ""grant_or_award"": ""R21AI137813 recombinant chimeric Cedar virus surrogate work"", ""note"": ""Example research-support record, not a vaccine development grant."", ""unit"": """"}]",None.,"Clarified as a research tool/surrogate, not an active vaccine pipeline row.","Use only for methods, assays, and antiviral screening context unless a real product program appears.",Surveillance/research surrogate only,True,False,PubMed: Cedar virus biology and surrogate applications | PMC: recombinant chimeric Cedar virus surrogate model | PMC: BSL-2 model using non-pathogenic Cedar virus | NIH grant: recombinant chimeric Cedar virus-based surrogate,https://pubmed.ncbi.nlm.nih.gov/39967899/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC10223282/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC11105800/ | https://grantome.com/grant/NIH/R21-AI137813-02,,Cedar-surrogate: 44 Europe PMC hits,Source returned HTTP 403: https://europepmc.org/search?query=Cedar%20virus%20surrogate%20henipavirus,Marked as surveillance/research tool to prevent users from interpreting Cedar as a vaccine priority.
ghv-mojv-angv-surveillance-only,"Ghanaian bat/Kumasi, Mojiang, and Angavokely surveillance-only lane",Surveillance only / no active development,Surveillance only; not active vaccine pipeline,Selected non-Nipah/non-Hendra henipavirus or henipa-like viruses,Ghanaian bat henipavirus / Kumasi virus; Mojiang virus; Angavokely virus,"Discovery, sequence, and risk-characterization records without public vaccine programs",Surveillance / research tool only,surveillance,1,Surveillance / sequence discovery,Not applicable; no active vaccine product program identified,Surveillance only,Academic and public-health surveillance researchers,"Bat/rodent/shrew surveillance, genomics, and receptor/pathogenicity research",No active vaccine or therapeutic development program curated,Not applicable,Virus discovery and genomic publications available,,,,,[],"[{""city"": ""Kumasi / bat sampling contexts"", ""country"": ""Ghana"", ""population"": ""Bats / wildlife surveillance"", ""role"": ""Sequence/discovery surveillance"", ""site"": ""Surveillance studies""}, {""city"": ""Mojiang County / historical mine-associated research context"", ""country"": ""China"", ""population"": ""Rodents / environmental investigation"", ""role"": ""Sequence/discovery surveillance"", ""site"": ""Rodent-associated discovery context""}, {""city"": ""Fruit-bat sampling sites"", ""country"": ""Madagascar"", ""population"": ""Fruit bats"", ""role"": ""Genomic characterization"", ""site"": ""Angavokely virus discovery studies""}]",[],None.,Non-development species are removed from the active vaccine pipeline view by labeling them surveillance-only/no active development.,"Add product-program rows only if a source-backed candidate, sponsor, and development plan appear.",Surveillance/no active development,True,False,PubMed: Angavokely virus discovery and genomic characterization | Journal of Virology DOI: Angavokely virus from fruit bats | PMC review: henipavirus diversity and animal models | PMC: therapeutics/vaccine review context for Nipah priorities,https://pubmed.ncbi.nlm.nih.gov/36040175/ | https://journals.asm.org/doi/10.1128/jvi.00921-22 | https://pmc.ncbi.nlm.nih.gov/articles/PMC12197635/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC12062192/,,non-NiV-HeV-surveillance: 4 Europe PMC hits,Source returned HTTP 403: https://journals.asm.org/doi/10.1128/jvi.00921-22 | Source returned HTTP 403: https://europepmc.org/search?query=Ghanaian%20bat%20henipavirus%20Mojiang%20Angavokely%20vaccine,Combined into one surveillance-only lane to reduce confusion and keep the active pipeline focused on Nipah and Hendra.
salt-gully-surveillance-only,Salt Gully virus surveillance lane,Surveillance only / no active development,Surveillance only,Salt Gully virus / novel henipavirus,Salt Gully virus,Novel Australian bat-borne henipavirus; pathogenic potential under study,Surveillance / research tool only,surveillance,1,Surveillance / virus discovery,Not applicable; no vaccine product program identified,Surveillance only,CSIRO and collaborating researchers,Australian flying fox surveillance and characterization,No active vaccine or therapeutic development program curated,Not applicable,Discovery publication and CSIRO public explainer available,,,,,[],"[{""city"": ""Queensland"", ""country"": ""Australia"", ""population"": ""Bats / wildlife surveillance"", ""role"": ""Virus discovery and characterization"", ""site"": ""Flying fox surveillance / CSIRO research""}]",[],None.,"Surveillance-only row; no evidence of human or animal disease, no vaccine program curated.","Pathogenicity, receptor, host-range, diagnostics, and ecological surveillance updates.",Surveillance/no active development,True,False,Emerging Infectious Diseases: Salt Gully virus isolated from pteropid bats | PMC: Salt Gully virus article | CSIRO: Salt Gully virus FAQ,https://wwwnc.cdc.gov/eid/article/31/9/25-0470_article | https://pmc.ncbi.nlm.nih.gov/articles/PMC12407197/ | https://www.csiro.au/en/news/all/news/2025/september/salt-gully-virus,,Salt-Gully-virus: 5 Europe PMC hits,Source returned HTTP 403: https://europepmc.org/search?query=%22Salt%20Gully%20virus%22%20henipavirus,Shown as surveillance-only and not an active vaccine priority.
tx-m1024-phase1-results-published,m102.4 monoclonal antibody,Therapeutic,Active public-health priority,Henipavirus nipahense / Henipavirus hendraense,Nipah virus; Hendra virus,Human monoclonal antibody targeting henipavirus G glycoprotein,Phase I results published,phase1_results_published,7,Therapeutic monoclonal antibody,Human monoclonal antibody biologic,Therapeutic / post-exposure prophylaxis candidate,"University of Queensland, Queensland Health, USU/HJF and collaborators; emergency-use experience",Phase I healthy-volunteer safety study; emergency/compassionate use experience reported,Phase I completed; results published,First-in-human randomized controlled Phase I study reported m102.4 as safe and well tolerated.,Published in The Lancet Infectious Diseases / PubMed 2020.,,,,,[],"[{""city"": ""Queensland"", ""country"": ""Australia"", ""population"": ""Healthy adults"", ""role"": ""Healthy-volunteer Phase I study"", ""site"": ""Phase I clinical research setting""}]",[],Emergency-use experience reported; no licensed product identified.,"New therapeutics-tab row. m102.4 is the most mature public henipavirus therapeutic, with published Phase I safety data and emergency-use history.","Availability/stockpile strategy, outbreak-use protocol, efficacy evidence, and regulatory pathway.",Published Phase I therapeutic + emergency-use reports,False,True,PubMed: m102.4 first-in-human Phase I study | The Lancet Infectious Diseases DOI: m102.4 Phase I study | DHA: USU-developed monoclonal antibody recognized as innovation,https://pubmed.ncbi.nlm.nih.gov/32027842/ | https://doi.org/10.1016/S1473-3099(19)30634-6 | https://www.dha.mil/News/2025/04/25/14/04/USU-developed-monoclonal-antibody-against-Nipah-virus-recognized-as-top-innovation,,m102.4: 116 Europe PMC hits,Source returned HTTP 403: https://doi.org/10.1016/S1473-3099(19)30634-6 | Source returned HTTP 403: https://europepmc.org/search?query=m102.4%20henipavirus%20phase%201,Therapeutic row added because countermeasure readiness is broader than vaccines.
tx-mbp1f5-phase1-planned,MBP1F5 monoclonal antibody,Therapeutic,Active public-health priority,Henipavirus nipahense / Henipavirus hendraense,Nipah virus; Hendra virus,Cross-reactive monoclonal antibody targeting the henipavirus fusion protein,Phase I planned / registered,phase1_planned,4,Therapeutic monoclonal antibody,Human monoclonal antibody biologic,Therapeutic / immediate protection candidate,"Mapp Biopharmaceutical, CEPI, US Department of Defense / USU collaborators, ServareGMP",Planned human trials in India and Bangladesh after manufacturing/regulatory work,Phase I planned; no public registry curated yet,CEPI announced support to advance MBP1F5 to human testing; trials in India and Bangladesh were planned in CEPI communications.,Preclinical therapeutic publication available; no human results yet,,,,,[],"[{""city"": ""To be confirmed"", ""country"": ""India"", ""population"": ""Healthy adults initially, to be confirmed"", ""role"": ""Planned Phase I/clinical testing"", ""site"": ""Planned clinical trial sites""}, {""city"": ""To be confirmed"", ""country"": ""Bangladesh"", ""population"": ""At-risk populations, to be confirmed"", ""role"": ""Planned affected-region clinical testing"", ""site"": ""Planned clinical trial sites""}]","[{""amount"": 43.5, ""currency"": ""USD"", ""funder"": ""CEPI"", ""grant_or_award"": ""MBP1F5 monoclonal antibody clinical development"", ""note"": ""CEPI announcement for novel antibody trials."", ""unit"": ""million""}]",No licensed reserve; intended for rapid protection/treatment in outbreaks if successful.,"New therapeutics-tab row for CEPI-backed MBP1F5, an F-targeting monoclonal antibody planned for human trials.","Public trial registry, first participant dosed, safety data, and affected-area protocol.",CEPI-funded therapeutic clinical-entry program + preclinical evidence,False,False,CEPI: new human trials for novel Nipah antibody MBP1F5 | Science Translational Medicine: MBP1F5 preclinical therapeutic administration | PubMed: therapeutic administration of cross-reactive mAb,https://cepi.net/new-human-trials-novel-antibody-offer-hope-immediate-protection-against-deadly-nipah | https://www.science.org/doi/10.1126/scitranslmed.adl2055 | https://pubmed.ncbi.nlm.nih.gov/38569014/,,MBP1F5: 3 Europe PMC hits,Source returned HTTP 403: https://www.science.org/doi/10.1126/scitranslmed.adl2055 | Source returned HTTP 403: https://europepmc.org/search?query=MBP1F5%20Nipah,Curated as Phase I planned rather than started until a registry or first-dosing source is public.
tx-remdesivir-preclinical,Remdesivir / GS-5734,Therapeutic,Active public-health priority,Henipavirus nipahense,Nipah virus,Repurposed broad-spectrum nucleotide prodrug antiviral,Preclinical / animal-model evidence,preclinical,2,Therapeutic small molecule / antiviral,Small-molecule antiviral,Therapeutic,NIAID/CDC/Gilead and academic investigators,African green monkey and animal-model treatment studies; no Nipah clinical trial identified,Preclinical for Nipah,No public Nipah clinical trial identified.,Preclinical NHP publications available,,,,,[],[],[],No Nipah-specific licensed indication.,Therapeutics-tab row showing preclinical antiviral evidence but no Nipah clinical development.,"Dose timing, combination therapy, clinical feasibility, compassionate-use protocol, and outbreak trial design.",Preclinical non-human-primate therapeutic evidence,False,False,PubMed: remdesivir protects African green monkeys from Nipah virus | PMC: late remdesivir treatment partially protects African green monkeys,https://pubmed.ncbi.nlm.nih.gov/31142680/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC10529221/,,remdesivir-Nipah: 76 Europe PMC hits,Source returned HTTP 403: https://europepmc.org/search?query=remdesivir%20Nipah%20virus%20African%20green%20monkeys,"Repurposed therapeutic, not a vaccine and not clinically proven for Nipah."
tx-favipiravir-preclinical,Favipiravir / T-705,Therapeutic,Active public-health priority,Henipavirus nipahense,Nipah virus,Repurposed broad-spectrum antiviral; mixed hamster evidence,Preclinical / animal-model evidence,preclinical,2,Therapeutic small molecule / antiviral,Small-molecule antiviral,Therapeutic,Academic/preclinical investigators,Hamster model studies with conflicting protection results; no Nipah clinical trial identified,Preclinical for Nipah,No public Nipah clinical trial identified.,"Preclinical publications available, including conflicting 2018 and 2025 hamster results",,,,,[],[],[],No Nipah-specific licensed indication.,Therapeutics-tab row flags conflicting preclinical evidence and avoids overstating clinical readiness.,"Replicate efficacy, optimize exposure/timing, compare strains, and decide whether outbreak trialing is justified.",Preclinical small-animal therapeutic evidence; mixed results,False,False,Scientific Reports: favipiravir protects against Nipah in hamster model | PLOS ONE 2025: favipiravir only partially protective in hamster model | PubMed: 2025 favipiravir hamster study,https://www.nature.com/articles/s41598-018-25780-3 | https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0318912 | https://pubmed.ncbi.nlm.nih.gov/40354368/,,favipiravir-Nipah: 102 Europe PMC hits,Source returned HTTP 403: https://europepmc.org/search?query=favipiravir%20Nipah%20hamster,Included under therapeutics with caution because newer preclinical evidence conflicts with earlier full-protection reports.
